"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"219",1992,23.8,8.93,100,46.2,113,89.1,40.3,385,1.02,0.56,2.66,0.04
"220",1993,31.85,10.945,103.5,40.85,111.5,76.8,45.85,393,1.06,0.61,2.58,0.03
"221",1994,23.1,8.87,101,42.2,111,84,39.2,391,1.03,0.53,2.49,0.04
"222",1995,28.8333333333333,10.3966666666667,103.333333333333,41.4,111.333333333333,79.1666666666667,44.0333333333333,390.333333333333,1.03666666666667,0.555,2.51,0.035
"223",1996,31.75,10.355,105.5,41,112.5,78,45.25,394,1.04,0.54,2.49,0.04
"224",1997,24,8.32,102,42.3,110,82.4,38.9,390,1.01,0.555,2.55,0.04
"225",1998,31.05,9.895,105,41.75,112,78,45.1,392,1.045,0.57,2.61,0.04
"226",1999,30.5,10.13,104.5,41.15,111.5,76.75,44.6,389.5,1.015,0.55,2.37,0.03
"227",2000,23.2,8.2,100,41.9,110,80.3,39,388,1.02,0.5,2.28,0.04
"228",2001,30.5,10.23,104,41.35,111,76.6,45.25,390.5,1.07,0.515,2.27,0.04
"229",2002,30.05,10.535,103.5,41.15,111,76.1,44.1,387.5,1.035,0.53,2.26,0.04
"230",2003,28,9.695,98.25,38.1,104.15,69.3,42.5,365.5,1.019,0.49,2.24,0.04
"231",2004,29.05,8.915,99.6,39.2,107.5,73.5,43.1,377,0.9995,0.5,2.16,0.04
"232",2005,21.7,7.24,96.2,39.8,107,79.3,37.3,377,0.976,0.5,2.37,0.04
